Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Axis Bank,USD,20251028105119,2025-10-28,2025-10-28,2025-10-28,09:28 AM,86.72,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['US Dollar USD 86.72 90.02 86.41 90.33 86.76 89.98 86.46 90.28', 'US Dollar', 'USD', '86.72', '90.02', '86.41', '90.33', '86.76', '89.98', '86.46', '90.28']"
Axis Bank,GBP,20251028105119,2025-10-28,2025-10-28,2025-10-28,09:28 AM,115.29,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Great British Pound GBP 115.29 120.64 114.93 121.00 115.18 120.75 114.88 121.05', 'Great British Pound', 'GBP', '115.29', '120.64', '114.93', '121.00', '115.18', '120.75', '114.88', '121.05']"
Axis Bank,AED,20251028105119,2025-10-28,2025-10-28,2025-10-28,09:28 AM,23.25,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['U.A.E. Dirham AED 23.25 24.87 23.20 24.92 23.10 25.02 23.05 25.07', 'U.A.E. Dirham', 'AED', '23.25', '24.87', '23.20', '24.92', '23.10', '25.02', '23.05', '25.07']"
Axis Bank,EUR,20251028105119,2025-10-28,2025-10-28,2025-10-28,09:28 AM,100.78,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Euro EUR 100.78 105.22 100.49 105.51 100.54 105.46 100.24 105.76', 'Euro', 'EUR', '100.78', '105.22', '100.49', '105.51', '100.54', '105.46', '100.24', '105.76']"
Axis Bank,USD,20251102160721,2025-11-02,2025-10-31,2025-10-31,07:48 PM,86.95,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['US Dollar USD 86.95 90.25 86.64 90.56 86.99 90.21 86.69 90.51', 'US Dollar', 'USD', '86.95', '90.25', '86.64', '90.56', '86.99', '90.21', '86.69', '90.51']"
Axis Bank,GBP,20251102160721,2025-11-02,2025-10-31,2025-10-31,07:48 PM,113.85,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Great British Pound GBP 113.85 119.20 113.49 119.56 113.74 119.31 113.44 119.61', 'Great British Pound', 'GBP', '113.85', '119.20', '113.49', '119.56', '113.74', '119.31', '113.44', '119.61']"
Axis Bank,EUR,20251102160721,2025-11-02,2025-10-31,2025-10-31,07:48 PM,100.28,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Euro EUR 100.28 104.72 99.99 105.01 100.04 104.96 99.74 105.26', 'Euro', 'EUR', '100.28', '104.72', '99.99', '105.01', '100.04', '104.96', '99.74', '105.26']"
Axis Bank,AED,20251102160721,2025-11-02,2025-10-31,2025-10-31,07:48 PM,23.31,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['U.A.E. Dirham AED 23.31 24.93 23.26 24.98 23.16 25.08 23.11 25.13', 'U.A.E. Dirham', 'AED', '23.31', '24.93', '23.26', '24.98', '23.16', '25.08', '23.11', '25.13']"
Axis Bank,GBP,20251103051004,2025-11-03,2025-11-03,2025-11-03,09:29 AM,113.97,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Great British Pound GBP 113.97 119.32 113.61 119.68 113.86 119.43 113.56 119.73', 'Great British Pound', 'GBP', '113.97', '119.32', '113.61', '119.68', '113.86', '119.43', '113.56', '119.73']"
Axis Bank,AED,20251103051004,2025-11-03,2025-11-03,2025-11-03,09:29 AM,23.36,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['U.A.E. Dirham AED 23.36 24.98 23.31 25.03 23.21 25.13 23.16 25.18', 'U.A.E. Dirham', 'AED', '23.36', '24.98', '23.31', '25.03', '23.21', '25.13', '23.16', '25.18']"
Axis Bank,EUR,20251103051004,2025-11-03,2025-11-03,2025-11-03,09:29 AM,100.15,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Euro EUR 100.15 104.59 99.86 104.88 99.91 104.83 99.61 105.13', 'Euro', 'EUR', '100.15', '104.59', '99.86', '104.88', '99.91', '104.83', '99.61', '105.13']"
Axis Bank,USD,20251103051004,2025-11-03,2025-11-03,2025-11-03,09:29 AM,87.12,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['US Dollar USD 87.12 90.42 86.81 90.73 87.16 90.38 86.86 90.68', 'US Dollar', 'USD', '87.12', '90.42', '86.81', '90.73', '87.16', '90.38', '86.86', '90.68']"
Axis Bank,USD,20251104033548,2025-11-04,2025-11-03,2025-11-03,06:31 PM,87.12,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['US Dollar USD 87.12 90.42 86.81 90.73 87.16 90.38 86.86 90.68', 'US Dollar', 'USD', '87.12', '90.42', '86.81', '90.73', '87.16', '90.38', '86.86', '90.68']"
Axis Bank,AED,20251104033548,2025-11-04,2025-11-03,2025-11-03,06:31 PM,23.36,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['U.A.E. Dirham AED 23.36 24.98 23.31 25.03 23.21 25.13 23.16 25.18', 'U.A.E. Dirham', 'AED', '23.36', '24.98', '23.31', '25.03', '23.21', '25.13', '23.16', '25.18']"
Axis Bank,EUR,20251104033548,2025-11-04,2025-11-03,2025-11-03,06:31 PM,100.15,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Euro EUR 100.15 104.59 99.86 104.88 99.91 104.83 99.61 105.13', 'Euro', 'EUR', '100.15', '104.59', '99.86', '104.88', '99.91', '104.83', '99.61', '105.13']"
Axis Bank,GBP,20251104033548,2025-11-04,2025-11-03,2025-11-03,06:31 PM,113.97,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Great British Pound GBP 113.97 119.32 113.61 119.68 113.86 119.43 113.56 119.73', 'Great British Pound', 'GBP', '113.97', '119.32', '113.61', '119.68', '113.86', '119.43', '113.56', '119.73']"
Axis Bank,EUR,20251105122814,2025-11-05,2025-11-04,2025-11-04,07:41 PM,99.68,https://application.axis.bank.in/WebForms/corporatecardrate/index.aspx,"['Euro EUR 99.68 104.12 99.39 104.41 99.44 104.36 99.14 104.66', 'Euro', 'EUR', '99.68', '104.12', '99.39', '104.41', '99.44', '104.36', '99.14', '104.66']"
