Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Bandhan Bank,USD,20251112204924,2025-11-12,2025-11-12,2025-11-12,09:15 IST,87.98,https://bandhan.bank.in/rates-charges,"['USD', '87.98', '89.29', '87.78', '89.49']"
Bandhan Bank,AED,20251112204924,2025-11-12,2025-11-12,2025-11-12,09:15 IST,23.53,https://bandhan.bank.in/rates-charges,"['AED', '23.53', '24.73', '23.33', '24.93']"
Bandhan Bank,GBP,20251112204924,2025-11-12,2025-11-12,2025-11-12,09:15 IST,115.20,https://bandhan.bank.in/rates-charges,"['GBP', '115.20', '117.73', '114.92', '118.01']"
Bandhan Bank,EUR,20251112204924,2025-11-12,2025-11-12,2025-11-12,09:15 IST,101.48,https://bandhan.bank.in/rates-charges,"['EUR', '101.48', '103.78', '101.21', '104.05']"
Bandhan Bank,AED,20251113174515,2025-11-13,2025-11-13,2025-11-13,09:15 IST,23.54,https://bandhan.bank.in/rates-charges,"['AED', '23.54', '24.75', '23.34', '24.95']"
Bandhan Bank,EUR,20251113174515,2025-11-13,2025-11-13,2025-11-13,09:15 IST,101.61,https://bandhan.bank.in/rates-charges,"['EUR', '101.61', '103.90', '101.34', '104.17']"
Bandhan Bank,GBP,20251113174515,2025-11-13,2025-11-13,2025-11-13,09:15 IST,115.13,https://bandhan.bank.in/rates-charges,"['GBP', '115.13', '117.59', '114.85', '117.87']"
Bandhan Bank,USD,20251113174515,2025-11-13,2025-11-13,2025-11-13,09:15 IST,88.02,https://bandhan.bank.in/rates-charges,"['USD', '88.02', '89.33', '87.82', '89.53']"
Bandhan Bank,USD,20251121191953,2025-11-21,2025-11-21,2025-11-21,09:15 IST,88.82,https://www.bandhan.bank.in/rates-charges,"['USD', '88.82', '90.13', '88.62', '90.33']"
Bandhan Bank,EUR,20251121191953,2025-11-21,2025-11-21,2025-11-21,09:15 IST,102.09,https://www.bandhan.bank.in/rates-charges,"['EUR', '102.09', '104.38', '101.82', '104.65']"
Bandhan Bank,AED,20251121191953,2025-11-21,2025-11-21,2025-11-21,09:15 IST,23.76,https://www.bandhan.bank.in/rates-charges,"['AED', '23.76', '24.96', '23.56', '25.16']"
Bandhan Bank,GBP,20251121191953,2025-11-21,2025-11-21,2025-11-21,09:15 IST,115.84,https://www.bandhan.bank.in/rates-charges,"['GBP', '115.84', '118.34', '115.56', '118.62']"
Bandhan Bank,USD,20251124200044,2025-11-24,2025-11-21,2025-11-21,09:15 IST,88.82,https://bandhan.bank.in/rates-charges,"['USD', '88.82', '90.13', '88.62', '90.33']"
Bandhan Bank,GBP,20251124200044,2025-11-24,2025-11-21,2025-11-21,09:15 IST,115.84,https://bandhan.bank.in/rates-charges,"['GBP', '115.84', '118.34', '115.56', '118.62']"
Bandhan Bank,AED,20251124200044,2025-11-24,2025-11-21,2025-11-21,09:15 IST,23.76,https://bandhan.bank.in/rates-charges,"['AED', '23.76', '24.96', '23.56', '25.16']"
Bandhan Bank,EUR,20251124200044,2025-11-24,2025-11-21,2025-11-21,09:15 IST,102.09,https://bandhan.bank.in/rates-charges,"['EUR', '102.09', '104.38', '101.82', '104.65']"
Bandhan Bank,EUR,20260118165131,2026-01-18,2026-01-16,2026-01-16,09:15 IST,104.16,https://www.bandhan.bank.in/rates-charges,"['EUR', '104.16', '106.44', '103.89', '106.71']"
Bandhan Bank,GBP,20260118165131,2026-01-18,2026-01-16,2026-01-16,09:15 IST,120.14,https://www.bandhan.bank.in/rates-charges,"['GBP', '120.14', '122.65', '119.86', '122.93']"
Bandhan Bank,USD,20260118165131,2026-01-18,2026-01-16,2026-01-16,09:15 IST,90.03,https://www.bandhan.bank.in/rates-charges,"['USD', '90.03', '91.34', '89.83', '91.54']"
Bandhan Bank,AED,20260118165131,2026-01-18,2026-01-16,2026-01-16,09:15 IST,24.09,https://www.bandhan.bank.in/rates-charges,"['AED', '24.09', '25.29', '23.89', '25.49']"
Bandhan Bank,GBP,20260217182941,2026-02-17,2026-02-17,2026-02-17,09:15 IST,122.22,https://bandhan.bank.in/rates-charges,"['GBP', '122.22', '124.73', '121.94', '125.01']"
Bandhan Bank,AED,20260217182941,2026-02-17,2026-02-17,2026-02-17,09:15 IST,24.10,https://bandhan.bank.in/rates-charges,"['AED', '24.10', '25.31', '23.90', '25.51']"
Bandhan Bank,EUR,20260217182941,2026-02-17,2026-02-17,2026-02-17,09:15 IST,106.29,https://bandhan.bank.in/rates-charges,"['EUR', '106.29', '108.59', '106.02', '108.86']"
Bandhan Bank,USD,20260217182941,2026-02-17,2026-02-17,2026-02-17,09:15 IST,90.08,https://bandhan.bank.in/rates-charges,"['USD', '90.08', '91.39', '89.88', '91.59']"
Bandhan Bank,EUR,20260411050246,2026-04-11,2026-04-10,2026-04-10,09:15 IST,107.06,https://www.bandhan.bank.in/rates-charges,"['EUR', '107.06', '109.36', '106.79', '109.63']"
Bandhan Bank,AED,20260411050246,2026-04-11,2026-04-10,2026-04-10,09:15 IST,24.59,https://www.bandhan.bank.in/rates-charges,"['AED', '24.59', '25.80', '24.39', '26.00']"
