Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Citibank,USD,20250617203641,2025-06-17,2025-06-17,2025-06-17,09:07 AM IST,84.22,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['USD/INR', '84.22', '87.66']"
Citibank,GBP,20250617203641,2025-06-17,2025-06-17,2025-06-17,09:07 AM IST,114.32,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['GBP/INR', '114.32', '118.98']"
Citibank,EUR,20250617203641,2025-06-17,2025-06-17,2025-06-17,09:07 AM IST,97.38,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['EUR/INR', '97.38', '101.36']"
Citibank,AED,20250617203641,2025-06-17,2025-06-17,2025-06-17,09:07 AM IST,22.93,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['AED/INR', '22.93', '23.87']"
Citibank,USD,20251029135255,2025-10-29,2025-10-29,2025-10-29,9:05 AM IST,86.4802,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['USD/INR', '86.4802', '90.0253']"
Citibank,GBP,20251029135255,2025-10-29,2025-10-29,2025-10-29,9:05 AM IST,114.6105,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['GBP/INR', '114.6105', '119.3571']"
Citibank,EUR,20251029135255,2025-10-29,2025-10-29,2025-10-29,9:05 AM IST,100.6615,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['EUR/INR', '100.6615', '104.8269']"
Citibank,AED,20251029135255,2025-10-29,2025-10-29,2025-10-29,9:05 AM IST,23.5400,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['AED/INR', '23.5400', '24.5192']"
Citibank,USD,live-20260729232246,2026-07-29,2026-07-29,2026-07-29,9:08 AM IST,93.7870,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['USD/INR', '93.7870', '97.6415']"
Citibank,USD,live-20260730061359,2026-07-30,2026-07-30,2026-07-30,9:05 AM IST,93.6519,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['USD/INR', '93.6519', '97.5010']"
Citibank,GBP,live-20260730184134,2026-07-30,2026-07-30,2026-07-30,9:05 AM IST,124.9598,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['GBP/INR', '124.9598', '130.1638']"
Citibank,EUR,live-20260730184134,2026-07-30,2026-07-30,2026-07-30,9:05 AM IST,107.2301,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['EUR/INR', '107.2301', '111.6762']"
Citibank,AED,live-20260730184134,2026-07-30,2026-07-30,2026-07-30,9:05 AM IST,25.4907,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['AED/INR', '25.4907', '26.5504']"
Citibank,USD,live-20260731063245,2026-07-31,2026-07-31,2026-07-31,9:05 AM IST,93.4646,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['USD/INR', '93.4646', '97.3060']"
Citibank,GBP,live-20260731063245,2026-07-31,2026-07-31,2026-07-31,9:05 AM IST,125.6614,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['GBP/INR', '125.6614', '130.8845']"
Citibank,EUR,live-20260731063245,2026-07-31,2026-07-31,2026-07-31,9:05 AM IST,107.5482,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['EUR/INR', '107.5482', '111.9976']"
Citibank,AED,live-20260731063245,2026-07-31,2026-07-31,2026-07-31,9:05 AM IST,25.4402,https://www.citigroup.com/rcs/citigpa/storage/public/India/forex-rates.pdf,"['AED/INR', '25.4402', '26.4999']"
