Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
City Union Bank,USD,live-20260729232246,2026-07-29,2026-07-29,2026-07-29,10:00 AM,94.75,https://cityunionbank.bank.in/foreign-exchange-rates,"['USD', '94.75', '96.70', '94.75', '96.70', '94.30', '97.15', '93.80', '97.65']"
City Union Bank,USD,live-20260730061349,2026-07-30,2026-07-30,2026-07-30,10:00 AM,94.60,https://cityunionbank.bank.in/foreign-exchange-rates,"['USD', '94.60', '96.55', '94.60', '96.55', '94.15', '97.00', '93.65', '97.50']"
City Union Bank,AED,live-20260730184128,2026-07-30,2026-07-30,2026-07-30,10:00 AM,25.75,https://cityunionbank.bank.in/foreign-exchange-rates,"['AED', '25.75', '26.30', '25.75', '26.30', '-', '-', '-', '-']"
City Union Bank,EUR,live-20260730184128,2026-07-30,2026-07-30,2026-07-30,10:00 AM,108.35,https://cityunionbank.bank.in/foreign-exchange-rates,"['EUR', '108.35', '110.55', '108.35', '110.55', '-', '-', '107.25', '111.65']"
City Union Bank,GBP,live-20260730184128,2026-07-30,2026-07-30,2026-07-30,10:00 AM,126.25,https://cityunionbank.bank.in/foreign-exchange-rates,"['GBP', '126.25', '128.80', '126.25', '128.80', '-', '-', '125.00', '130.10']"
City Union Bank,AED,live-20260731063226,2026-07-31,2026-07-31,2026-07-31,10:00 AM,25.70,https://cityunionbank.bank.in/foreign-exchange-rates,"['AED', '25.70', '26.25', '25.70', '26.25', '-', '-', '-', '-']"
City Union Bank,EUR,live-20260731063226,2026-07-31,2026-07-31,2026-07-31,10:00 AM,108.70,https://cityunionbank.bank.in/foreign-exchange-rates,"['EUR', '108.70', '110.90', '108.70', '110.90', '-', '-', '107.60', '112.00']"
City Union Bank,GBP,live-20260731063226,2026-07-31,2026-07-31,2026-07-31,10:00 AM,127.00,https://cityunionbank.bank.in/foreign-exchange-rates,"['GBP', '127.00', '129.55', '127.00', '129.55', '-', '-', '125.70', '130.85']"
City Union Bank,USD,live-20260731063226,2026-07-31,2026-07-31,2026-07-31,10:00 AM,94.45,https://cityunionbank.bank.in/foreign-exchange-rates,"['USD', '94.45', '96.35', '94.45', '96.35', '93.95', '96.80', '93.50', '97.30']"
City Union Bank,AED,live-20260803063857,2026-08-03,2026-08-03,2026-08-03,10:00 AM,25.70,https://cityunionbank.bank.in/foreign-exchange-rates,"['AED', '25.70', '26.25', '25.70', '26.25', '-', '-', '-', '-']"
City Union Bank,EUR,live-20260803063857,2026-08-03,2026-08-03,2026-08-03,10:00 AM,108.85,https://cityunionbank.bank.in/foreign-exchange-rates,"['EUR', '108.85', '111.05', '108.85', '111.05', '-', '-', '107.75', '112.15']"
City Union Bank,GBP,live-20260803063857,2026-08-03,2026-08-03,2026-08-03,10:00 AM,127.15,https://cityunionbank.bank.in/foreign-exchange-rates,"['GBP', '127.15', '129.70', '127.15', '129.70', '-', '-', '125.85', '131.00']"
City Union Bank,USD,live-20260803063857,2026-08-03,2026-08-03,2026-08-03,10:00 AM,94.20,https://cityunionbank.bank.in/foreign-exchange-rates,"['USD', '94.20', '96.10', '94.20', '96.10', '93.70', '96.55', '93.25', '97.05']"
