Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
DCB Bank,USD,live-20260729232636,2026-07-29,2026-07-29,2026-07-29,15:55:55,93.85,https://www.dcb.bank.in/rates/forex-rates,"['1', 'USD', '97.45', '93.85', '97.65', '93.65', '97.85', '93.45', '98.35', '92.95']"
DCB Bank,USD,live-20260730061359,2026-07-30,2026-07-30,2026-07-30,09:34:09,93.83,https://www.dcb.bank.in/rates/forex-rates,"['1', 'USD', '97.43', '93.83', '97.63', '93.63', '97.83', '93.43', '98.33', '92.93']"
DCB Bank,GBP,live-20260730184142,2026-07-30,2026-07-30,2026-07-30,15:54:29,126.08,https://www.dcb.bank.in/rates/forex-rates,"['1', 'GBP', '130.08', '126.08', '130.28', '125.88', '131.13', '125.03', '131.23', '124.93']"
DCB Bank,EUR,live-20260730184142,2026-07-30,2026-07-30,2026-07-30,15:54:29,107.78,https://www.dcb.bank.in/rates/forex-rates,"['1', 'EUR', '111.78', '107.78', '111.98', '107.58', '112.48', '107.08', '112.58', '106.98']"
DCB Bank,AED,live-20260730184142,2026-07-30,2026-07-30,2026-07-30,15:54:29,25.05,https://www.dcb.bank.in/rates/forex-rates,"['1', 'AED', '27.05', '25.05', '27.25', '24.85', '27.45', '24.65', '27.55', '24.55']"
DCB Bank,EUR,live-20260731063244,2026-07-31,2026-07-31,2026-07-31,09:38:35,107.78,https://www.dcb.bank.in/rates/forex-rates,"['1', 'EUR', '111.78', '107.78', '111.98', '107.58', '112.48', '107.08', '112.58', '106.98']"
DCB Bank,AED,live-20260731063244,2026-07-31,2026-07-31,2026-07-31,09:38:35,24.96,https://www.dcb.bank.in/rates/forex-rates,"['1', 'AED', '26.96', '24.96', '27.16', '24.76', '27.36', '24.56', '27.46', '24.46']"
DCB Bank,USD,live-20260731063244,2026-07-31,2026-07-31,2026-07-31,09:38:35,93.55,https://www.dcb.bank.in/rates/forex-rates,"['1', 'USD', '97.15', '93.55', '97.35', '93.35', '97.55', '93.15', '98.05', '92.65']"
DCB Bank,GBP,live-20260731063244,2026-07-31,2026-07-31,2026-07-31,09:38:35,126.26,https://www.dcb.bank.in/rates/forex-rates,"['1', 'GBP', '130.26', '126.26', '130.46', '126.06', '131.31', '125.21', '131.41', '125.11']"
DCB Bank,GBP,live-20260803063921,2026-08-03,2026-08-03,2026-08-03,09:39:40,126.21,https://www.dcb.bank.in/rates/forex-rates,"['1', 'GBP', '130.21', '126.21', '130.41', '126.01', '131.26', '125.16', '131.36', '125.06']"
