Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
ICICI Bank,USD,20251114170235,2025-11-14,2025-11-14,2025-11-14,09:12:03 AM,87.01,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['United States Dollar (USD)', '87.01', '87.01', '86.93', '86.75', 'null', '90.27', '90.27', '90.49', '90.41', '90.27']"
ICICI Bank,EUR,20251114170235,2025-11-14,2025-11-14,2025-11-14,09:12:03 AM,100.9,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['Euro (EUR)', '100.9', '100.9', '100.43', '100.9', 'null', '105.47', '105.47', '106.15', '105.47', '105.47']"
ICICI Bank,GBP,20251114170235,2025-11-14,2025-11-14,2025-11-14,09:12:03 AM,113.78,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['Great Britain Pound (GBP)', '113.78', '113.78', '113.9', '114.01', 'null', '119.77', '119.77', '119.54', '119.01', '118.95']"
ICICI Bank,AED,20251114170235,2025-11-14,2025-11-14,2025-11-14,09:12:03 AM,23.4,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['U.A.E Dirham (AED)', '23.4', '23.4', '23.3', '23.21', '', '24.91', '24.91', '25.0', '25.09', '']"
ICICI Bank,USD,20251118051147,2025-11-18,2025-11-18,2025-11-18,09:14:09 AM,86.98,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['United States Dollar (USD)', '86.98', '86.98', '86.89', '86.71', 'null', '90.23', '90.23', '90.45', '90.36', '90.23']"
ICICI Bank,EUR,20251118051147,2025-11-18,2025-11-18,2025-11-18,09:14:09 AM,100.41,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['Euro (EUR)', '100.41', '100.41', '99.95', '100.41', 'null', '104.96', '104.96', '105.63', '104.96', '104.96']"
ICICI Bank,GBP,20251118051147,2025-11-18,2025-11-18,2025-11-18,09:14:09 AM,113.68,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['Great Britain Pound (GBP)', '113.68', '113.68', '113.8', '113.92', 'null', '119.66', '119.66', '119.42', '118.9', '118.84']"
ICICI Bank,AED,20251118051147,2025-11-18,2025-11-18,2025-11-18,09:14:09 AM,23.39,https://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['U.A.E Dirham (AED)', '23.39', '23.39', '23.29', '23.2', '', '24.89', '24.89', '24.99', '25.08', '']"
ICICI Bank,EUR,20251125004055,2025-11-25,2025-11-24,2025-11-24,09:18:03 AM,100.26,http://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['Euro (EUR)', '100.26', '100.26', '99.8', '100.26', 'null', '104.81', '104.81', '105.48', '104.81', '104.81']"
ICICI Bank,USD,20251125004055,2025-11-25,2025-11-24,2025-11-24,09:18:03 AM,87.41,http://www.icici.bank.in/corporate/global-markets/forex/forex-card-rate,"['United States Dollar (USD)', '87.41', '87.41', '87.32', '87.14', 'null', '90.68', '90.68', '90.9', '90.81', '90.68']"
