Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
IDFC FIRST Bank,USD,live-20260729232642,2026-07-29,2026-07-29,2026-07-29,17:38:14,93.93,https://www.idfcfirst.bank.in/forex-rates.html,"['USDINR', '93.04', '98.27', '93.93', '97.38', '92.54', '98.77']"
IDFC FIRST Bank,USD,live-20260730061308,2026-07-30,2026-07-30,2026-07-30,09:08:29,93.85,https://www.idfcfirst.bank.in/forex-rates.html,"['USDINR', '93.49', '97.66', '93.85', '97.3', '93.84', '97.31']"
IDFC FIRST Bank,EUR,live-20260730184148,2026-07-30,2026-07-30,2026-07-30,17:00:35,106.6,https://www.idfcfirst.bank.in/forex-rates.html,"['EURINR', '105.56', '113.9', '106.6', '112.85', '105.55', '113.91']"
IDFC FIRST Bank,GBP,live-20260730184148,2026-07-30,2026-07-30,2026-07-30,17:00:35,124.51,https://www.idfcfirst.bank.in/forex-rates.html,"['GBPINR', '123.95', '132.02', '124.51', '131.46', '122.9', '133.07']"
IDFC FIRST Bank,AED,live-20260730184148,2026-07-30,2026-07-30,2026-07-30,17:00:35,24.81,https://www.idfcfirst.bank.in/forex-rates.html,"['AEDINR', '24.66', '27.45', '24.81', '27.29', '24.16', '27.94']"
IDFC FIRST Bank,USD,live-20260731063212,2026-07-31,2026-07-31,2026-07-31,09:07:28,93.66,https://www.idfcfirst.bank.in/forex-rates.html,"['USDINR', '93.3', '97.47', '93.66', '97.11', '93.65', '97.12']"
IDFC FIRST Bank,EUR,live-20260731063212,2026-07-31,2026-07-31,2026-07-31,09:07:28,107.26,https://www.idfcfirst.bank.in/forex-rates.html,"['EURINR', '106.43', '113.12', '107.26', '112.29', '106.81', '112.74']"
IDFC FIRST Bank,GBP,live-20260731063212,2026-07-31,2026-07-31,2026-07-31,09:07:28,125.49,https://www.idfcfirst.bank.in/forex-rates.html,"['GBPINR', '125.04', '131.51', '125.49', '131.06', '124.73', '131.81']"
IDFC FIRST Bank,AED,live-20260731063212,2026-07-31,2026-07-31,2026-07-31,09:07:28,24.99,https://www.idfcfirst.bank.in/forex-rates.html,"['AEDINR', '24.86', '27.09', '24.99', '26.96', '24.97', '26.98']"
IDFC FIRST Bank,USD,live-20260803063930,2026-08-03,2026-08-03,2026-08-03,09:08:13,93.42,https://www.idfcfirst.bank.in/forex-rates.html,"['USDINR', '93.06', '97.21', '93.42', '96.85', '93.41', '96.86']"
IDFC FIRST Bank,EUR,live-20260803063930,2026-08-03,2026-08-03,2026-08-03,09:08:13,107.16,https://www.idfcfirst.bank.in/forex-rates.html,"['EURINR', '106.32', '113.01', '107.16', '112.18', '106.71', '112.63']"
IDFC FIRST Bank,GBP,live-20260803063930,2026-08-03,2026-08-03,2026-08-03,09:08:13,125.31,https://www.idfcfirst.bank.in/forex-rates.html,"['GBPINR', '124.86', '131.36', '125.31', '130.91', '124.55', '131.66']"
IDFC FIRST Bank,AED,live-20260803063930,2026-08-03,2026-08-03,2026-08-03,09:08:13,24.92,https://www.idfcfirst.bank.in/forex-rates.html,"['AEDINR', '24.79', '27.01', '24.92', '26.89', '24.9', '26.91']"
