Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Indian Overseas Bank,USD,20240414205331,2024-04-14,2024-04-12,2024-04-12,,83.15,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '83.65', '83.69', '83.15', '83.11']"
Indian Overseas Bank,USD,20240417175948,2024-04-17,2024-04-17,2024-04-17,,83.39,https://iob.in/iob_Forex-rates.aspx,"['1', 'USD', '83.89', '83.93', '83.39', '83.35']"
Indian Overseas Bank,USD,20240612235616,2024-06-12,2024-06-12,2024-06-12,,83.32,https://www.iob.in/iob_forex-rates.aspx,"['1', 'USD', '83.82', '83.86', '83.32', '83.28']"
Indian Overseas Bank,USD,20240724113400,2024-07-24,2024-07-24,2024-07-24,,83.48,https://iob.in/iob_Forex-rates.aspx,"['1', 'USD', '83.98', '84.02', '83.48', '83.44']"
Indian Overseas Bank,USD,20241106182159,2024-11-06,2024-11-06,2024-11-06,,84.05,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '84.56', '84.6', '84.05', '84.01']"
Indian Overseas Bank,USD,20241111000905,2024-11-11,2024-11-08,2024-11-08,,84.11,https://iob.in/iob_Forex-rates.aspx,"['1', 'USD', '84.62', '84.66', '84.11', '84.07']"
Indian Overseas Bank,USD,20241121034205,2024-11-21,2024-11-20,2024-11-20,,84.12,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '84.63', '84.67', '84.12', '84.08']"
Indian Overseas Bank,USD,20241214185820,2024-12-14,2024-12-13,2024-12-13,,84.53,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '85.04', '85.08', '84.53', '84.49']"
Indian Overseas Bank,USD,20250210100400,2025-02-10,2025-02-10,2025-02-10,,87.66,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '88.18', '88.22', '87.66', '87.62']"
Indian Overseas Bank,USD,20250307204727,2025-03-07,2025-03-07,2025-03-07,,86.91,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '87.43', '87.47', '86.91', '86.87']"
Indian Overseas Bank,USD,20250319083935,2025-03-19,2025-03-19,2025-03-19,,86.33,https://iob.in/iob_Forex-rates.aspx,"['1', 'USD', '86.85', '86.89', '86.33', '86.29']"
Indian Overseas Bank,USD,20250531192547,2025-05-31,2025-05-30,2025-05-30,10.55 AM,85.17,https://iob.in/iob_forex-rates.aspx,"['1', 'USD', '85.68', '85.72', '85.17', '85.13']"
Indian Overseas Bank,USD,20250806122836,2025-08-06,2025-08-06,2025-08-06,10.27 AM,87.45,https://www.iob.in/iob_Forex-rates.aspx,"['1', 'USD', '87.97', '88.01', '87.45', '87.41']"
Indian Overseas Bank,USD,20250813155314,2025-08-13,2025-08-13,2025-08-13,10.27 AM,87.38,https://iob.in/iob_Forex-rates.aspx,"['1', 'USD', '87.9', '87.94', '87.38', '87.34']"
Indian Overseas Bank,USD,20260214134201,2026-02-14,2026-02-12,2026-02-12,16.36 PM,90.91,https://www.iob.bank.in/en/Forex,"['1', 'USD', '90.91', '90.96', '90.37', '90.33']"
Indian Overseas Bank,USD,20260316001356,2026-03-16,2026-03-13,2026-03-13,10.12 AM,92.05,https://www.iob.bank.in/en/forex,"['1', 'USD', '92.05', '92.61', '92', '92.66']"
Indian Overseas Bank,USD,20260317032059,2026-03-17,2026-03-16,2026-03-16,10.12 AM,92.19,https://www.iob.bank.in/en/forex-rates,"['1', 'USD', '92.19', '92.75', '92.14', '92.80']"
Indian Overseas Bank,USD,live-20260530194247,2026-05-30,2026-05-29,2026-05-29,10.33 AM,95.11,https://www.iob.bank.in/en/forex-rates,"['1', 'USD', '95.11', '95.68', '95.06', '95.73']"
Indian Overseas Bank,USD,live-20260728232252,2026-07-28,2026-07-28,2026-07-28,10.26 AM,95.42,https://www.iob.bank.in/en/forex-rates,"['1', 'USD', '95.42', '95.99', '95.37', '96.04']"
Indian Overseas Bank,USD,live-20260729062151,2026-07-29,2026-07-29,2026-07-29,10.18 AM,95.46,https://www.iob.bank.in/en/forex-rates,"['1', 'USD', '95.46', '96.03', '95.41', '96.08']"
Indian Overseas Bank,USD,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,10.44 AM,95.30,https://www.iob.bank.in/en/forex-rates,"['1', 'USD', '95.30', '95.87', '95.25', '95.92']"
Indian Overseas Bank,GBP,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,10.44 AM,126.92,https://www.iob.bank.in/en/forex-rates,"['1', 'GBP', '126.92', '128.19', '126.86', '128.25']"
Indian Overseas Bank,EUR,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,10.44 AM,108.94,https://www.iob.bank.in/en/forex-rates,"['1', 'EUR', '108.94', '110.04', '108.89', '110.10']"
Indian Overseas Bank,AED,live-20260730184118,2026-07-30,2026-07-30,2026-07-30,10.44 AM,25.81,https://www.iob.bank.in/en/forex-rates,"['1', 'AED', '25.81', '26.20', '25.80', '26.21']"
