Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Jammu & Kashmir Bank,USD,live-20260729232252,2026-07-29,2026-07-29,2026-07-29,09.16.58,95.200000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'USD', '95.200000', '96.300000', '94.900000', '96.600000', '95.050000', '96.450000', '0.000000', '0.000000', '94.300000', '97.200000', '1.00']"
Jammu & Kashmir Bank,USD,live-20260730061326,2026-07-30,2026-07-30,2026-07-30,09.24.44,95.100000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'USD', '95.100000', '96.200000', '94.800000', '96.500000', '94.950000', '96.350000', '0.000000', '0.000000', '94.200000', '97.100000', '1.00']"
Jammu & Kashmir Bank,GBP,live-20260730184133,2026-07-30,2026-07-30,2026-07-30,09.24.44,126.800000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['2', 'GBP', '126.800000', '128.490000', '126.500000', '128.790000', '126.650000', '128.640000', '0.000000', '0.000000', '125.900000', '129.390000', '1.33']"
Jammu & Kashmir Bank,EUR,live-20260730184133,2026-07-30,2026-07-30,2026-07-30,09.24.44,108.750000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['3', 'EUR', '108.750000', '110.290000', '108.450000', '110.590000', '108.870000', '110.190000', '0.000000', '0.000000', '107.370000', '111.440000', '1.15']"
Jammu & Kashmir Bank,AED,live-20260730184133,2026-07-30,2026-07-30,2026-07-30,09.24.44,24.21,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'AED Arab Emirate Dirham', '24.21', '28.12']"
Jammu & Kashmir Bank,EUR,live-20260731063145,2026-07-31,2026-07-31,2026-07-31,09.27.43,108.920000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['3', 'EUR', '108.920000', '110.460000', '108.620000', '110.760000', '109.050000', '110.360000', '0.000000', '0.000000', '107.550000', '111.610000', '1.15']"
Jammu & Kashmir Bank,AED,live-20260731063145,2026-07-31,2026-07-31,2026-07-31,09.27.43,24.14,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'AED Arab Emirate Dirham', '24.14', '28.04']"
Jammu & Kashmir Bank,USD,live-20260731063145,2026-07-31,2026-07-31,2026-07-31,09.27.43,94.750000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'USD', '94.750000', '95.850000', '94.450000', '96.150000', '94.600000', '96.000000', '0.000000', '0.000000', '93.850000', '96.750000', '1.00']"
Jammu & Kashmir Bank,GBP,live-20260731063145,2026-07-31,2026-07-31,2026-07-31,09.27.43,127.330000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['2', 'GBP', '127.330000', '129.030000', '127.030000', '129.330000', '127.180000', '129.180000', '0.000000', '0.000000', '126.430000', '129.930000', '1.35']"
Jammu & Kashmir Bank,USD,live-20260803063959,2026-08-03,2026-08-03,2026-08-03,09.23.25,94.600000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'USD', '94.600000', '95.700000', '94.300000', '96.000000', '94.450000', '95.850000', '0.000000', '0.000000', '93.700000', '96.600000', '1.00']"
Jammu & Kashmir Bank,GBP,live-20260803063959,2026-08-03,2026-08-03,2026-08-03,09.23.25,127.270000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['2', 'GBP', '127.270000', '128.970000', '126.970000', '129.270000', '127.120000', '129.120000', '0.000000', '0.000000', '126.370000', '129.870000', '1.35']"
Jammu & Kashmir Bank,EUR,live-20260803063959,2026-08-03,2026-08-03,2026-08-03,09.23.25,108.940000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['3', 'EUR', '108.940000', '110.480000', '108.640000', '110.780000', '109.060000', '110.380000', '0.000000', '0.000000', '107.560000', '111.630000', '1.15']"
Jammu & Kashmir Bank,AED,live-20260803063959,2026-08-03,2026-08-03,2026-08-03,09.23.25,24.10,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'AED Arab Emirate Dirham', '24.10', '27.99']"
Jammu & Kashmir Bank,USD,live-20260804062032,2026-08-04,2026-08-04,2026-08-04,09.19.40,94.800000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'USD', '94.800000', '95.900000', '94.500000', '96.200000', '94.650000', '96.050000', '0.000000', '0.000000', '93.900000', '96.800000', '1.00']"
Jammu & Kashmir Bank,GBP,live-20260804062032,2026-08-04,2026-08-04,2026-08-04,09.19.40,127.160000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['2', 'GBP', '127.160000', '128.860000', '126.860000', '129.160000', '127.010000', '129.010000', '0.000000', '0.000000', '126.260000', '129.760000', '1.34']"
Jammu & Kashmir Bank,EUR,live-20260804062032,2026-08-04,2026-08-04,2026-08-04,09.19.40,108.980000,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['3', 'EUR', '108.980000', '110.520000', '108.680000', '110.820000', '109.100000', '110.420000', '0.000000', '0.000000', '107.600000', '111.670000', '1.15']"
Jammu & Kashmir Bank,AED,live-20260804062032,2026-08-04,2026-08-04,2026-08-04,09.19.40,24.14,https://eapp.jkb.bank.in/eintraweb/forex-rates,"['1', 'AED Arab Emirate Dirham', '24.14', '28.03']"
