Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Karur Vysya Bank,USD,live-20260729232248,2026-07-29,2026-07-29,2026-07-29,09:00:00,95.00,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( USD ) US DOLLAR', '96.48', '96.72', '97.20', None, '95.00', '94.76', '94.52', '94.28']"
Karur Vysya Bank,USD,live-20260730061247,2026-07-30,2026-07-30,2026-07-30,09:00:00,94.85,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( USD ) US DOLLAR', '96.35', '96.59', '97.07', None, '94.85', '94.61', '94.37', '94.13']"
Karur Vysya Bank,AED,live-20260730184134,2026-07-30,2026-07-29,2026-07-29,09:00:00,25.73,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( AED ) ARAB EMIRATES DIRHAM', '26.41', '26.47', '0.00', None, '25.73', '25.67', '0.00', '0']"
Karur Vysya Bank,EUR,live-20260730184134,2026-07-30,2026-07-29,2026-07-29,09:00:00,107.74,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( EUR ) EURO', '110.54', '110.81', '111.35', None, '107.74', '107.47', '107.20', '106.9']"
Karur Vysya Bank,GBP,live-20260730184134,2026-07-30,2026-07-29,2026-07-29,09:00:00,125.65,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( GBP ) BRITISH POUND', '128.97', '129.29', '129.92', None, '125.65', '125.34', '125.02', '124.7']"
Karur Vysya Bank,GBP,live-20260731063222,2026-07-31,2026-07-31,2026-07-31,09:00:00,126.49,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( GBP ) BRITISH POUND', '129.82', '130.14', '130.78', None, '126.49', '126.17', '125.85', '125.5']"
Karur Vysya Bank,USD,live-20260731063222,2026-07-31,2026-07-31,2026-07-31,09:00:00,94.53,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( USD ) US DOLLAR', '96.03', '96.27', '96.74', None, '94.53', '94.29', '94.05', '93.82']"
Karur Vysya Bank,AED,live-20260731063222,2026-07-31,2026-07-31,2026-07-31,09:00:00,25.61,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( AED ) ARAB EMIRATES DIRHAM', '26.28', '26.35', '0.00', None, '25.61', '25.54', '0.00', '0']"
Karur Vysya Bank,EUR,live-20260731063222,2026-07-31,2026-07-31,2026-07-31,09:00:00,108.25,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( EUR ) EURO', '111.10', '111.37', '111.92', None, '108.25', '107.97', '107.70', '107.4']"
Karur Vysya Bank,AED,live-20260803063900,2026-08-03,2026-08-03,2026-08-03,09:00:00,25.56,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( AED ) ARAB EMIRATES DIRHAM', '26.23', '26.30', '0.00', None, '25.56', '25.50', '0.00', '0']"
Karur Vysya Bank,EUR,live-20260803063900,2026-08-03,2026-08-03,2026-08-03,09:00:00,108.24,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( EUR ) EURO', '111.05', '111.33', '111.87', None, '108.24', '107.96', '107.69', '107.4']"
Karur Vysya Bank,GBP,live-20260803063900,2026-08-03,2026-08-03,2026-08-03,09:00:00,126.42,https://kvb.bank.in/manager/fx-card-rate/pdf/fx_card_rates.pdf,"['( GBP ) BRITISH POUND', '129.74', '130.06', '130.70', None, '126.42', '126.10', '125.78', '125.5']"
