Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Punjab National Bank,USD,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,04:00,95.09,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['USD', '95.09', '95.79', '94.53', '96.36', '95.03', '95.95', '95.00', '94.12', '96.53']"
Punjab National Bank,EUR,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,04:00,109.10,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['EUR', '109.10', '110.38', '108.34', '111.42', '109.00', '110.58', '109.09', '107.49', '111.54']"
Punjab National Bank,GBP,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,04:00,127.72,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['GBP', '127.72', '128.98', '126.88', '129.98', '127.65', '129.16', '127.63', '126.03', '130.10']"
Punjab National Bank,AED,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,04:00,25.77,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['AED', '25.77', '26.22', '25.76', '26.26', '25.75', '26.27', '25.87', '25.59', '26.26']"
Punjab National Bank,USD,live-20260803063945,2026-08-03,2026-08-03,2026-08-03,09:00,94.85,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['USD', '94.85', '95.55', '94.29', '96.12', '94.79', '95.71', '94.76', '93.88', '96.29']"
Punjab National Bank,EUR,live-20260803063945,2026-08-03,2026-08-03,2026-08-03,09:00,109.06,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['EUR', '109.06', '110.35', '108.30', '111.39', '108.96', '110.55', '109.05', '107.45', '111.51']"
Punjab National Bank,GBP,live-20260803063945,2026-08-03,2026-08-03,2026-08-03,09:00,127.56,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['GBP', '127.56', '128.83', '126.72', '129.83', '127.49', '129.01', '127.47', '125.87', '129.95']"
Punjab National Bank,AED,live-20260803063945,2026-08-03,2026-08-03,2026-08-03,09:00,25.70,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['AED', '25.70', '26.16', '25.69', '26.20', '25.68', '26.21', '25.80', '25.52', '26.20']"
Punjab National Bank,USD,live-20260804062027,2026-08-04,2026-08-04,2026-08-04,09:00,95.06,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['USD', '95.06', '95.76', '94.50', '96.33', '95.00', '95.92', '94.97', '94.09', '96.50']"
Punjab National Bank,EUR,live-20260804062027,2026-08-04,2026-08-04,2026-08-04,09:00,109.15,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['EUR', '109.15', '110.44', '108.39', '111.48', '109.05', '110.64', '109.14', '107.54', '111.60']"
Punjab National Bank,GBP,live-20260804062027,2026-08-04,2026-08-04,2026-08-04,09:00,127.51,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['GBP', '127.51', '128.81', '126.67', '129.81', '127.44', '128.99', '127.42', '125.82', '129.93']"
Punjab National Bank,AED,live-20260804062027,2026-08-04,2026-08-04,2026-08-04,09:00,25.75,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['AED', '25.75', '26.21', '25.74', '26.25', '25.73', '26.26', '25.85', '25.57', '26.25']"
Punjab National Bank,USD,live-20260805062054,2026-08-05,2026-08-05,2026-08-05,09:00,94.63,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['USD', '94.63', '95.33', '94.07', '95.90', '94.57', '95.49', '94.54', '93.66', '96.07']"
Punjab National Bank,EUR,live-20260805062054,2026-08-05,2026-08-05,2026-08-05,09:00,108.90,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['EUR', '108.90', '110.18', '108.14', '111.22', '108.80', '110.38', '108.89', '107.29', '111.34']"
Punjab National Bank,GBP,live-20260805062054,2026-08-05,2026-08-05,2026-08-05,09:00,127.18,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['GBP', '127.18', '128.45', '126.34', '129.45', '127.11', '128.63', '127.09', '125.49', '129.57']"
Punjab National Bank,AED,live-20260805062054,2026-08-05,2026-08-05,2026-08-05,09:00,25.64,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['AED', '25.64', '26.10', '25.63', '26.14', '25.62', '26.15', '25.74', '25.46', '26.14']"
Punjab National Bank,USD,live-20260806111710,2026-08-06,2026-08-06,2026-08-06,04:00,94.93,https://pnb.bank.in/downloadprocess.aspx?fid=A+rrvZeJc+PIaxfEqVTIQQ==,"['USD', '94.93', '95.63', '94.37', '96.20', '94.87', '95.79', '94.84', '93.96', '96.37']"
