Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
RBL Bank,USD,live-20260801121517,2026-08-01,2026-07-31,2026-07-31,09:00 AM,92.91,https://www.rbl.bank.in/fxadmin_getfx,"['USD', '92.91', '92.44', '94.58', '92.20', '97.70', '98.18', '97.94', '97.70']"
RBL Bank,EUR,live-20260801121517,2026-08-01,2026-07-31,2026-07-31,09:00 AM,106.95,https://www.rbl.bank.in/fxadmin_getfx,"['EUR', '106.95', '106.40', '108.04', '106.67', '112.46', '113.01', '112.74', '112.74']"
RBL Bank,GBP,live-20260801121517,2026-08-01,2026-07-31,2026-07-31,09:00 AM,124.96,https://www.rbl.bank.in/fxadmin_getfx,"['GBP', '124.96', '124.32', '126.24', '124.64', '131.41', '132.05', '131.73', '131.73']"
RBL Bank,AED,live-20260801121517,2026-08-01,2026-07-31,2026-07-31,09:00 AM,24.77,https://www.rbl.bank.in/fxadmin_getfx,"['AED', '24.77', '24.58', '25.42', '25.23', '27.12', '27.58', '26.86', '26.67']"
RBL Bank,USD,live-20260803063932,2026-08-03,2026-08-03,2026-08-03,09:00 AM,92.80,https://www.rbl.bank.in/fxadmin_getfx,"['USD', '92.80', '92.32', '94.46', '92.08', '97.57', '98.05', '97.81', '97.57']"
RBL Bank,EUR,live-20260803063932,2026-08-03,2026-08-03,2026-08-03,09:00 AM,107.00,https://www.rbl.bank.in/fxadmin_getfx,"['EUR', '107.00', '106.45', '108.09', '106.72', '112.51', '113.06', '112.79', '112.79']"
RBL Bank,GBP,live-20260803063932,2026-08-03,2026-08-03,2026-08-03,09:00 AM,124.98,https://www.rbl.bank.in/fxadmin_getfx,"['GBP', '124.98', '124.34', '126.26', '124.66', '131.42', '132.06', '131.74', '131.74']"
RBL Bank,AED,live-20260803063932,2026-08-03,2026-08-03,2026-08-03,09:00 AM,24.74,https://www.rbl.bank.in/fxadmin_getfx,"['AED', '24.74', '24.55', '25.39', '25.20', '27.09', '27.54', '26.83', '26.63']"
RBL Bank,AED,live-20260804061952,2026-08-04,2026-08-04,2026-08-04,09:00 AM,24.78,https://www.rbl.bank.in/fxadmin_getfx,"['AED', '24.78', '24.58', '25.43', '25.23', '27.13', '27.58', '26.87', '26.67']"
RBL Bank,GBP,live-20260804061952,2026-08-04,2026-08-04,2026-08-04,09:00 AM,124.77,https://www.rbl.bank.in/fxadmin_getfx,"['GBP', '124.77', '124.13', '126.05', '124.45', '131.19', '131.83', '131.51', '131.51']"
RBL Bank,EUR,live-20260804061952,2026-08-04,2026-08-04,2026-08-04,09:00 AM,106.95,https://www.rbl.bank.in/fxadmin_getfx,"['EUR', '106.95', '106.40', '108.05', '106.68', '112.45', '113.00', '112.73', '112.73']"
RBL Bank,USD,live-20260804061952,2026-08-04,2026-08-04,2026-08-04,09:00 AM,92.93,https://www.rbl.bank.in/fxadmin_getfx,"['USD', '92.93', '92.45', '94.60', '92.21', '97.71', '98.19', '97.95', '97.71']"
RBL Bank,USD,live-20260805062022,2026-08-05,2026-08-05,2026-08-05,09:00 AM,92.59,https://www.rbl.bank.in/fxadmin_getfx,"['USD', '92.59', '92.12', '94.26', '91.88', '97.36', '97.83', '97.60', '97.36']"
RBL Bank,EUR,live-20260805062022,2026-08-05,2026-08-05,2026-08-05,09:00 AM,106.82,https://www.rbl.bank.in/fxadmin_getfx,"['EUR', '106.82', '106.27', '107.91', '106.54', '112.32', '112.87', '112.60', '112.60']"
RBL Bank,GBP,live-20260805062022,2026-08-05,2026-08-05,2026-08-05,09:00 AM,124.59,https://www.rbl.bank.in/fxadmin_getfx,"['GBP', '124.59', '123.95', '125.86', '124.27', '131.01', '131.64', '131.32', '131.32']"
RBL Bank,AED,live-20260805062022,2026-08-05,2026-08-05,2026-08-05,09:00 AM,24.69,https://www.rbl.bank.in/fxadmin_getfx,"['AED', '24.69', '24.49', '25.33', '25.14', '27.03', '27.48', '26.77', '26.58']"
RBL Bank,USD,live-20260806062029,2026-08-06,2026-08-06,2026-08-06,09:00 AM,92.75,https://www.rbl.bank.in/fxadmin_getfx,"['USD', '92.75', '92.28', '94.42', '92.04', '97.53', '98.00', '97.77', '97.53']"
RBL Bank,EUR,live-20260806062029,2026-08-06,2026-08-06,2026-08-06,09:00 AM,107.12,https://www.rbl.bank.in/fxadmin_getfx,"['EUR', '107.12', '106.57', '108.22', '106.85', '112.64', '113.18', '112.91', '112.91']"
RBL Bank,GBP,live-20260806062029,2026-08-06,2026-08-06,2026-08-06,09:00 AM,124.85,https://www.rbl.bank.in/fxadmin_getfx,"['GBP', '124.85', '124.21', '126.13', '124.53', '131.28', '131.92', '131.60', '131.60']"
RBL Bank,AED,live-20260806062029,2026-08-06,2026-08-06,2026-08-06,09:00 AM,24.73,https://www.rbl.bank.in/fxadmin_getfx,"['AED', '24.73', '24.54', '25.38', '25.18', '27.08', '27.53', '26.82', '26.62']"
RBL Bank,EUR,live-20260807060210,2026-08-07,2026-08-07,2026-08-07,09:00 AM,107.00,https://www.rbl.bank.in/fxadmin_getfx,"['EUR', '107.00', '106.45', '108.10', '106.73', '112.54', '113.08', '112.81', '112.81']"
RBL Bank,GBP,live-20260807060210,2026-08-07,2026-08-07,2026-08-07,09:00 AM,124.93,https://www.rbl.bank.in/fxadmin_getfx,"['GBP', '124.93', '124.29', '126.21', '124.61', '131.36', '132.00', '131.68', '131.68']"
RBL Bank,USD,live-20260807060210,2026-08-07,2026-08-07,2026-08-07,09:00 AM,92.88,https://www.rbl.bank.in/fxadmin_getfx,"['USD', '92.88', '92.40', '94.54', '92.16', '97.65', '98.13', '97.89', '97.65']"
RBL Bank,AED,live-20260807060210,2026-08-07,2026-08-07,2026-08-07,09:00 AM,24.76,https://www.rbl.bank.in/fxadmin_getfx,"['AED', '24.76', '24.57', '25.41', '25.22', '27.11', '27.56', '26.85', '26.66']"
