Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Remitly,USD,live-20260801154558,2026-08-01,2026-08-01,2026-08-01,15:45,95.66,https://www.remitly.com/us/en/india,"{'currency': 'USD', 'effectiveRateAsLowAs': '95.66'}"
Remitly,GBP,live-20260801154558,2026-08-01,2026-08-01,2026-08-01,15:45,129.07,https://www.remitly.com/us/en/india,"{'currency': 'GBP', 'effectiveRateAsLowAs': '129.07'}"
Remitly,EUR,live-20260801154558,2026-08-01,2026-08-01,2026-08-01,15:45,110.50,https://www.remitly.com/us/en/india,"{'currency': 'EUR', 'effectiveRateAsLowAs': '110.50'}"
Remitly,USD,live-20260802062324,2026-08-02,2026-08-02,2026-08-02,06:23,95.66,https://www.remitly.com/us/en/india,"{'currency': 'USD', 'effectiveRateAsLowAs': '95.66'}"
Remitly,GBP,live-20260802062324,2026-08-02,2026-08-02,2026-08-02,06:23,129.07,https://www.remitly.com/us/en/india,"{'currency': 'GBP', 'effectiveRateAsLowAs': '129.07'}"
Remitly,EUR,live-20260802062324,2026-08-02,2026-08-02,2026-08-02,06:23,110.50,https://www.remitly.com/us/en/india,"{'currency': 'EUR', 'effectiveRateAsLowAs': '110.50'}"
Remitly,USD,live-20260803063935,2026-08-03,2026-08-03,2026-08-03,06:39,95.54,https://www.remitly.com/us/en/india,"{'currency': 'USD', 'effectiveRateAsLowAs': '95.54'}"
Remitly,GBP,live-20260803063935,2026-08-03,2026-08-03,2026-08-03,06:39,128.82,https://www.remitly.com/us/en/india,"{'currency': 'GBP', 'effectiveRateAsLowAs': '128.82'}"
Remitly,EUR,live-20260803063935,2026-08-03,2026-08-03,2026-08-03,06:39,110.37,https://www.remitly.com/us/en/india,"{'currency': 'EUR', 'effectiveRateAsLowAs': '110.37'}"
Remitly,USD,live-20260804062038,2026-08-04,2026-08-04,2026-08-04,06:20,95.63,https://www.remitly.com/us/en/india,"{'currency': 'USD', 'effectiveRateAsLowAs': '95.63'}"
Remitly,GBP,live-20260804062038,2026-08-04,2026-08-04,2026-08-04,06:20,128.47,https://www.remitly.com/us/en/india,"{'currency': 'GBP', 'effectiveRateAsLowAs': '128.47'}"
Remitly,EUR,live-20260804062038,2026-08-04,2026-08-04,2026-08-04,06:20,110.23,https://www.remitly.com/us/en/india,"{'currency': 'EUR', 'effectiveRateAsLowAs': '110.23'}"
