Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
State Bank of India,USD,20250909023230,2025-09-09,2025-09-08,2025-09-08,12:49 PM,87.6,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UNITED STATES DOLLAR', 'USD/INR', '87.6', '88.45', '87.53', '88.62', '87.53', '88.62', '86.5', '88.95']"
State Bank of India,GBP,20250909023230,2025-09-09,2025-09-08,2025-09-08,12:49 PM,117.6,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['GREAT BRITAIN POUND', 'GBP/INR', '117.6', '120.35', '117.52', '120.58', '117.52', '120.58', '115.9', '121.55']"
State Bank of India,AED,20250909023230,2025-09-09,2025-09-08,2025-09-08,12:49 PM,23.38,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UAE DIRHAM', 'AED/INR', '23.38', '24.58', '23.36', '24.63', '23.36', '24.63', '22.75', '24.95']"
State Bank of India,EUR,20250909023230,2025-09-09,2025-09-08,2025-09-08,12:49 PM,101.9,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['EURO', 'EUR/INR', '101.9', '104.52', '101.86', '104.72', '101.86', '104.72', '100.4', '105.1']"
State Bank of India,AED,20250913102208,2025-09-13,2025-09-12,2025-09-12,9:07 AM,23.47,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UAE DIRHAM', 'AED/INR', '23.47', '24.68', '23.45', '24.73', '23.45', '24.73', '22.8', '25.05']"
State Bank of India,GBP,20250913102208,2025-09-13,2025-09-12,2025-09-12,9:07 AM,118.4,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['GREAT BRITAIN POUND', 'GBP/INR', '118.4', '121.18', '118.33', '121.41', '118.33', '121.41', '116.7', '122.4']"
State Bank of India,EUR,20250913102208,2025-09-13,2025-09-12,2025-09-12,9:07 AM,102.3,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['EURO', 'EUR/INR', '102.3', '104.93', '102.25', '105.13', '102.25', '105.13', '100.8', '105.5']"
State Bank of India,USD,20250913102208,2025-09-13,2025-09-12,2025-09-12,9:07 AM,87.95,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UNITED STATES DOLLAR', 'USD/INR', '87.95', '88.8', '87.88', '88.97', '87.88', '88.97', '86.85', '89.3']"
State Bank of India,GBP,20250916205619,2025-09-16,2025-09-16,2025-09-16,1:07 PM,118.8,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['GREAT BRITAIN POUND', 'GBP/INR', '118.8', '121.5', '118.66', '121.73', '118.66', '121.73', '117', '122.7']"
State Bank of India,EUR,20250916205619,2025-09-16,2025-09-16,2025-09-16,1:07 PM,102.6,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['EURO', 'EUR/INR', '102.6', '105.2', '102.52', '105.4', '102.52', '105.4', '101.1', '105.8']"
State Bank of India,AED,20250916205619,2025-09-16,2025-09-16,2025-09-16,1:07 PM,23.39,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UAE DIRHAM', 'AED/INR', '23.39', '24.6', '23.37', '24.64', '23.37', '24.64', '22.75', '25']"
State Bank of India,USD,20250916205619,2025-09-16,2025-09-16,2025-09-16,1:07 PM,87.65,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UNITED STATES DOLLAR', 'USD/INR', '87.65', '88.5', '87.58', '88.67', '87.58', '88.67', '86.55', '89']"
State Bank of India,USD,20251016071409,2025-10-16,2025-10-16,2025-10-16,9:30 AM,87.4,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UNITED STATES DOLLAR', 'USD/INR', '87.4', '88.25', '87.33', '88.42', '87.33', '88.42', '86.3', '88.75']"
State Bank of India,AED,20251016071409,2025-10-16,2025-10-16,2025-10-16,9:30 AM,23.33,https://sbi.bank.in/documents/16012/1400784/FOREX_CARD_RATES.pdf,"['UAE DIRHAM', 'AED/INR', '23.33', '24.53', '23.31', '24.57', '23.31', '24.57', '22.7', '24.9']"
