Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Ujjivan Small Finance Bank,USD,live-20260729232249,2026-07-29,2026-07-29,2026-07-29,9.45 am,94.30,https://www.ujjivansfb.bank.in/forex-rates,"['United States Dollar', 'USD', '94.30', '97.21']"
Ujjivan Small Finance Bank,USD,live-20260730061253,2026-07-30,2026-07-30,2026-07-30,9.45 am,94.18,https://www.ujjivansfb.bank.in/forex-rates,"['United States Dollar', 'USD', '94.18', '97.07']"
Ujjivan Small Finance Bank,AED,live-20260730184135,2026-07-30,2026-07-30,2026-07-30,9.45 am,25.21,https://www.ujjivansfb.bank.in/forex-rates,"['U.A.E. Dirham', 'AED', '25.21', '26.83']"
Ujjivan Small Finance Bank,EUR,live-20260730184135,2026-07-30,2026-07-30,2026-07-30,9.45 am,107.83,https://www.ujjivansfb.bank.in/forex-rates,"['Euro', 'EUR', '107.83', '111.15']"
Ujjivan Small Finance Bank,GBP,live-20260730184135,2026-07-30,2026-07-30,2026-07-30,9.45 am,125.69,https://www.ujjivansfb.bank.in/forex-rates,"['Great Britain Pound', 'GBP', '125.69', '129.56']"
Ujjivan Small Finance Bank,EUR,live-20260803063943,2026-08-03,2026-08-03,2026-08-03,9.45 am,108.09,https://www.ujjivansfb.bank.in/forex-rates,"['Euro', 'EUR', '108.09', '111.43']"
Ujjivan Small Finance Bank,GBP,live-20260803063943,2026-08-03,2026-08-03,2026-08-03,9.45 am,126.27,https://www.ujjivansfb.bank.in/forex-rates,"['Great Britain Pound', 'GBP', '126.27', '130.16']"
Ujjivan Small Finance Bank,USD,live-20260803063943,2026-08-03,2026-08-03,2026-08-03,9.45 am,93.75,https://www.ujjivansfb.bank.in/forex-rates,"['United States Dollar', 'USD', '93.75', '96.63']"
Ujjivan Small Finance Bank,AED,live-20260803063943,2026-08-03,2026-08-03,2026-08-03,9.45 am,25.09,https://www.ujjivansfb.bank.in/forex-rates,"['U.A.E. Dirham', 'AED', '25.09', '26.70']"
Ujjivan Small Finance Bank,GBP,live-20260804062056,2026-08-04,2026-08-04,2026-08-04,9.45 am,125.93,https://www.ujjivansfb.bank.in/forex-rates,"['Great Britain Pound', 'GBP', '125.93', '129.88']"
Ujjivan Small Finance Bank,EUR,live-20260804062056,2026-08-04,2026-08-04,2026-08-04,9.45 am,107.97,https://www.ujjivansfb.bank.in/forex-rates,"['Euro', 'EUR', '107.97', '111.31']"
Ujjivan Small Finance Bank,AED,live-20260804062056,2026-08-04,2026-08-04,2026-08-04,9.45 am,25.15,https://www.ujjivansfb.bank.in/forex-rates,"['U.A.E. Dirham', 'AED', '25.15', '26.76']"
Ujjivan Small Finance Bank,USD,live-20260804062056,2026-08-04,2026-08-04,2026-08-04,9.45 am,93.83,https://www.ujjivansfb.bank.in/forex-rates,"['United States Dollar', 'USD', '93.83', '96.72']"
Ujjivan Small Finance Bank,USD,live-20260805062045,2026-08-05,2026-08-05,2026-08-05,9.45 am,93.54,https://www.ujjivansfb.bank.in/forex-rates,"['United States Dollar', 'USD', '93.54', '96.41']"
Ujjivan Small Finance Bank,AED,live-20260805062045,2026-08-05,2026-08-05,2026-08-05,9.45 am,25.05,https://www.ujjivansfb.bank.in/forex-rates,"['U.A.E. Dirham', 'AED', '25.05', '26.65']"
Ujjivan Small Finance Bank,EUR,live-20260805062045,2026-08-05,2026-08-05,2026-08-05,9.45 am,107.91,https://www.ujjivansfb.bank.in/forex-rates,"['Euro', 'EUR', '107.91', '111.23']"
Ujjivan Small Finance Bank,GBP,live-20260805062045,2026-08-05,2026-08-05,2026-08-05,9.45 am,125.86,https://www.ujjivansfb.bank.in/forex-rates,"['Great Britain Pound', 'GBP', '125.86', '129.73']"
Ujjivan Small Finance Bank,USD,live-20260806062018,2026-08-06,2026-08-06,2026-08-06,9.45 am,93.72,https://www.ujjivansfb.bank.in/forex-rates,"['United States Dollar', 'USD', '93.72', '96.59']"
Ujjivan Small Finance Bank,AED,live-20260806062018,2026-08-06,2026-08-06,2026-08-06,9.45 am,25.09,https://www.ujjivansfb.bank.in/forex-rates,"['U.A.E. Dirham', 'AED', '25.09', '26.70']"
Ujjivan Small Finance Bank,EUR,live-20260806062018,2026-08-06,2026-08-06,2026-08-06,9.45 am,108.23,https://www.ujjivansfb.bank.in/forex-rates,"['Euro', 'EUR', '108.23', '111.56']"
Ujjivan Small Finance Bank,GBP,live-20260806062018,2026-08-06,2026-08-06,2026-08-06,9.45 am,126.14,https://www.ujjivansfb.bank.in/forex-rates,"['Great Britain Pound', 'GBP', '126.14', '130.03']"
