Bank,Currency,Snapshot_Timestamp,Snapshot_Date,Date,Rate_Date,Published_At,TT_Buy,Source_URL,Raw_Data_Row
Union Bank of India,AED,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,9:10:00,25.86,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['AED', '26.08', '26.09', '25.86', '25.85', '26.27', '26.35', '25.67', '25.59', '', '', '', '', '']"
Union Bank of India,EUR,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,9:10:00,109.10,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['EUR', '110.44', '110.47', '109.10', '109.09', '111.24', '111.59', '108.29', '107.84', '2.1850', '2.1857', '2.0551', '2.0008', '1.9784']"
Union Bank of India,GBP,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,9:10:00,127.55,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['GBP', '129.02', '129.05', '127.55', '127.54', '129.85', '130.35', '126.71', '126.21', '3.7312', '3.7360', '3.7471', '3.7636', '3.9019']"
Union Bank of India,USD,live-20260801121516,2026-08-01,2026-07-31,2026-07-31,9:10:00,95.06,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['USD', '95.72', '95.74', '95.06', '95.05', '96.39', '96.74', '94.38', '94.03', '3.6500', '3.7056', '3.8110', '3.9501', '4.1219']"
Union Bank of India,AED,live-20260803063933,2026-08-03,2026-08-03,2026-08-03,9:15:00,25.80,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['AED', '26.02', '26.03', '25.80', '25.79', '26.21', '26.29', '25.61', '25.53', '', '', '', '', '']"
Union Bank of India,EUR,live-20260803063933,2026-08-03,2026-08-03,2026-08-03,9:15:00,109.02,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['EUR', '110.35', '110.38', '109.02', '109.01', '111.15', '111.50', '108.21', '107.76', '2.1850', '2.1858', '2.0566', '2.0020', '1.9791']"
Union Bank of India,GBP,live-20260803063933,2026-08-03,2026-08-03,2026-08-03,9:15:00,127.39,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['GBP', '128.86', '128.89', '127.39', '127.38', '129.69', '130.19', '126.55', '126.05', '3.7313', '3.7361', '3.7471', '3.7637', '3.9005']"
Union Bank of India,USD,live-20260803063933,2026-08-03,2026-08-03,2026-08-03,9:15:00,94.82,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['USD', '95.48', '95.50', '94.82', '94.81', '96.15', '96.50', '94.14', '93.79', '3.6500', '3.6568', '3.7509', '3.8776', '4.0451']"
Union Bank of India,USD,live-20260805061952,2026-08-05,2026-08-05,,,94.65,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['USD', '95.31', '95.33', '94.65', '94.64', '95.98', '96.33', '93.97', '93.62', '3.6500', '3.6505', '3.7609', '3.9001', '4.0718']"
Union Bank of India,GBP,live-20260805061952,2026-08-05,2026-08-05,,,127.06,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['GBP', '128.52', '128.55', '127.06', '127.05', '129.35', '129.85', '126.22', '125.72', '3.7313', '3.7363', '3.7470', '3.7638', '3.8936']"
Union Bank of India,EUR,live-20260805061952,2026-08-05,2026-08-05,,,108.90,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['EUR', '110.23', '110.26', '108.90', '108.89', '111.03', '111.38', '108.09', '107.64', '2.1850', '2.1860', '2.0677', '2.0080', '1.9820']"
Union Bank of India,AED,live-20260805061952,2026-08-05,2026-08-05,,,25.75,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['AED', '25.97', '25.98', '25.75', '25.74', '26.16', '26.24', '25.56', '25.48', '', '', '', '', '']"
Union Bank of India,AED,live-20260806062007,2026-08-06,2026-08-06,2026-08-06,9:15:00,25.80,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['AED', '26.02', '26.03', '25.80', '25.79', '26.21', '26.29', '25.61', '25.53', '', '', '', '', '']"
Union Bank of India,EUR,live-20260806062007,2026-08-06,2026-08-06,2026-08-06,9:15:00,109.22,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['EUR', '110.56', '110.59', '109.22', '109.21', '111.36', '111.71', '108.41', '107.96', '2.1850', '2.1861', '2.0705', '2.0094', '1.9827']"
Union Bank of India,GBP,live-20260806062007,2026-08-06,2026-08-06,2026-08-06,9:15:00,127.34,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['GBP', '128.80', '128.83', '127.34', '127.33', '129.63', '130.13', '126.50', '126.00', '3.7321', '3.7361', '3.1747', '3.7472', '3.8936']"
Union Bank of India,USD,live-20260806062007,2026-08-06,2026-08-06,2026-08-06,9:15:00,94.82,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['USD', '95.48', '95.50', '94.82', '94.81', '96.15', '96.50', '94.14', '93.79', '3.6600', '3.6511', '3.7577', '3.8812', '4.0353']"
Union Bank of India,AED,live-20260807055912,2026-08-07,2026-08-07,2026-08-07,11:00:00,25.83,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['AED', '26.05', '26.06', '25.83', '25.82', '26.24', '26.32', '25.64', '25.56', '', '', '', '', '']"
Union Bank of India,EUR,live-20260807055912,2026-08-07,2026-08-07,2026-08-07,11:00:00,109.15,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['EUR', '110.48', '110.51', '109.15', '109.14', '111.28', '111.63', '108.34', '107.89', '2.1850', '2.1861', '2.0733', '2.0108', '1.9835']"
Union Bank of India,GBP,live-20260807055912,2026-08-07,2026-08-07,2026-08-07,11:00:00,127.48,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['GBP', '128.94', '128.97', '127.48', '127.47', '129.77', '130.27', '126.64', '126.14', '3.7318', '3.7363', '3.7474', '3.7639', '3.8922']"
Union Bank of India,USD,live-20260807055912,2026-08-07,2026-08-07,2026-08-07,11:00:00,94.96,https://www.unionbankofindia.bank.in/pdf/foreign-exchange-card-rates-applicable-to-various-forex-transactions.pdf,"['USD', '95.62', '95.64', '94.96', '94.95', '96.29', '96.64', '94.28', '93.93', '3.6400', '3.6466', '3.7571', '3.8837', '4.0383']"
